open,high,low,close,percent_change,turnover,date
1118.31,1119.56,1104.90,1109.44,-0.62,182973532.34,2024-03-17
1114.62,1118.73,1098.39,1109.07,-0.03,184992099.40,2024-03-18
1108.09,1110.19,1098.65,1100.33,-0.78,135394120.20,2024-03-19
1107.07,1111.25,1095.35,1098.37,-0.17,142872083.50,2024-03-20
1099.08,1103.72,1088.71,1090.97,-0.67,144947259.20,2024-03-21
1090.85,1083.43,1076.95,1077.59,-1.22,167589054.40,2024-03-25
1078.51,1081.48,1072.14,1078.09,0.04,145016833.60,2024-03-26
1079.04,1080.72,1068.96,1071.97,-0.56,155422606.10,2024-03-27
1076.97,1077.30,1066.92,1070.60,-0.12,137882073.20,2024-03-28
1071.52,1081.23,1062.11,1064.82,-0.53,162063900.30,2024-03-31
1065.51,1065.51,1056.28,1060.51,-0.40,165524259.70,2024-04-01
1063.68,1067.16,1054.91,1058.51,-0.18,138131478.70,2024-04-02
1060.81,1062.17,1049.84,1054.80,-0.35,178347769.50,2024-04-03
1055.87,1055.87,1048.95,1050.06,-0.44,164823936.80,2024-04-04
1051.68,1056.18,1041.29,1056.18,0.58,244819858.00,2024-04-07
1063.20,1069.78,1056.51,1059.66,0.32,199470193.70,2024-04-09
1061.86,1067.51,1054.65,1059.23,-0.03,178878473.30,2024-04-10
1060.15,1064.68,1052.49,1055.77,-0.32,167732918.80,2024-04-14
1055.78,1057.57,1043.57,1047.21,-0.81,180036178.10,2024-04-15
1048.85,1048.85,1040.30,1042.82,-0.41,140012124.70,2024-04-16
1043.70,1046.03,1033.90,1037.75,-0.48,156826537.20,2024-04-18
1036.79,1040.79,1021.29,1034.19,-0.34,241415945.70,2024-04-21
1035.07,1041.14,1026.05,1027.67,-0.63,180433137.20,2024-04-22
1028.55,1032.74,1023.47,1029.86,0.21,203018985.40,2024-04-24
1032.06,1033.30,1024.79,1027.80,-0.19,197827132.70,2024-04-25
1038.50,1038.50,1022.28,1030.36,0.24,209725980.80,2024-04-28
1045.64,1045.64,1025.77,1033.39,0.29,175602886.20,2024-04-29
1051.06,1051.06,1030.89,1044.82,1.10,204012247.40,2024-04-30
1064.69,1064.69,1033.57,1036.19,-0.82,186035987.00,2024-05-02
1037.04,1037.15,1019.34,1024.76,-1.10,165337268.10,2024-05-05
1030.68,1030.68,1016.20,1018.27,-0.63,158694798.20,2024-05-06
1019.15,1022.63,1014.85,1017.41,-0.08,122723984.20,2024-05-07
1018.29,1019.79,1010.22,1014.79,-0.25,121114054.70,2024-05-08
