open,high,low,close,percent_change,turnover,date
735.20,735.20,695.65,696.38,-4.05,29176000.00,2020-03-10
700.63,733.27,693.01,716.16,2.84,43648800.00,2020-03-11
719.22,726.48,696.26,700.94,-2.13,47844700.00,2020-03-12
691.81,697.39,681.66,682.71,-2.60,39516500.00,2020-03-15
688.52,693.77,675.47,686.34,0.53,47875900.00,2020-03-16
695.06,695.06,669.50,671.55,-2.15,46985300.00,2020-03-17
670.49,680.66,659.07,667.01,-0.68,37199400.00,2020-03-18
667.01,679.52,660.75,672.66,0.85,56771400.00,2020-03-19
681.37,688.63,671.47,679.93,1.08,3745510.00,2020-03-22
671.22,671.22,660.52,660.52,-2.85,89068000.00,2020-05-12
651.80,651.80,641.76,641.76,-2.84,1095270.00,2020-05-13
633.78,675.66,630.67,661.82,3.13,5991350.00,2020-06-29
654.63,685.79,651.88,685.79,3.62,10243000.00,2020-06-30
677.09,713.58,677.09,706.73,3.05,34272100.00,2020-07-01
731.66,734.33,675.34,675.34,-4.44,83441700.00,2020-07-02
674.21,711.64,671.64,695.17,2.94,180547000.00,2020-07-05
696.68,724.79,696.68,724.79,4.26,168368000.00,2020-07-06
729.71,751.94,729.71,751.84,3.73,112771000.00,2020-07-07
760.92,772.05,747.82,749.05,-0.37,275479000.00,2020-07-08
751.69,757.30,741.78,755.91,0.92,168174000.00,2020-07-09
755.91,771.26,754.45,763.69,1.03,171627000.00,2020-07-12
766.38,773.50,756.16,759.79,-0.51,117892000.00,2020-07-13
758.66,764.14,753.93,757.79,-0.26,122772000.00,2020-07-14
757.79,768.96,757.72,768.53,1.42,119995000.00,2020-07-15
777.99,779.03,763.61,775.31,0.88,115372000.00,2020-07-16
785.15,824.65,785.15,824.65,6.36,26939700.00,2020-07-19
852.30,861.83,799.21,802.55,-2.75,218880000.00,2020-07-20
802.55,808.76,789.94,798.75,-0.47,149911000.00,2020-07-21
799.89,803.51,780.08,784.42,-1.79,178043000.00,2020-07-22
784.42,789.52,777.01,789.18,0.61,127911000.00,2020-07-23
779.73,800.47,779.73,802.98,1.75,254588000.00,2020-07-26
806.76,815.47,802.44,808.69,0.71,183709000.00,2020-07-27
808.69,815.55,801.11,807.72,-0.12,112439000.00,2020-07-28
809.58,812.66,803.11,805.84,-0.23,258776000.00,2020-07-29
810.00,820.18,804.59,810.54,0.58,248629000.00,2020-07-30
814.70,815.99,797.01,789.28,-1.51,258663000.00,2020-08-02
799.79,804.34,793.52,802.10,0.48,110019000.00,2020-08-03
801.72,802.48,791.28,797.94,-0.52,144949000.00,2020-08-05
797.57,799.46,790.21,794.89,-0.38,127412000.00,2020-08-06
794.89,804.45,787.93,804.45,1.20,107769000.00,2020-08-09
802.18,818.51,802.18,817.08,1.57,158287000.00,2020-08-10
816.70,822.91,812.55,816.51,-0.07,150592000.00,2020-08-11
822.94,822.94,813.01,814.99,-0.19,76557200.00,2020-08-12
814.99,815.94,807.16,809.42,-0.68,90156100.00,2020-08-13
809.80,809.80,798.57,808.31,-0.14,87650100.00,2020-08-16
806.42,818.68,805.13,818.68,1.28,82737400.00,2020-08-17
826.88,835.83,824.79,832.16,1.65,236387000.00,2020-08-18
841.16,841.16,822.23,828.28,-0.47,160220000.00,2020-08-19
