open,high,low,close,percent_change,turnover,date
3890.80,3911.85,3777.64,3791.10,-2.50,164266287.80,2023-08-06
3791.10,3864.67,3763.06,3844.66,1.41,129550004.50,2023-08-07
3839.60,3855.90,3765.80,3777.98,-1.73,122102360.70,2023-08-08
3777.98,3872.83,3741.89,3872.83,2.51,125003723.50,2023-08-09
3873.83,3910.99,3839.48,3861.71,-0.28,131336234.80,2023-08-10
3861.71,3911.05,3847.42,3883.01,0.55,153266363.50,2023-08-13
3883.01,3916.66,3875.67,3884.15,0.02,132607405.40,2023-08-14
3884.15,3914.75,3805.76,3810.97,-1.88,138636773.20,2023-08-15
3818.49,3825.89,3773.32,3791.86,-0.50,111360383.30,2023-08-16
3791.86,3848.13,3786.88,3805.12,0.34,96928972.00,2023-08-17
3806.21,3819.60,3763.64,3769.52,-0.93,121525413.40,2023-08-20
3769.52,3807.04,3743.17,3755.90,-0.36,79306248.80,2023-08-21
3755.90,3799.00,3742.18,3799.00,1.14,65209985.00,2023-08-22
3799.00,3853.95,3793.25,3842.56,1.14,93270974.40,2023-08-23
3843.37,3864.75,3752.52,3756.54,-2.23,107835561.50,2023-08-24
3756.54,3765.97,3721.57,3732.51,-0.63,76804054.20,2023-08-27
3732.51,3768.12,3721.12,3758.81,0.70,52324952.70,2023-08-28
3758.81,3763.53,3730.42,3737.63,-0.56,35695050.20,2023-08-29
3731.17,3755.36,3720.93,3735.75,-0.05,62308303.10,2023-08-30
3735.75,3735.75,3670.16,3677.56,-1.55,64366894.50,2023-09-03
3677.56,3718.34,3645.94,3693.82,0.44,67426418.30,2023-09-04
3693.82,3703.28,3674.86,3689.71,-0.11,31875502.10,2023-09-05
3689.71,3693.61,3638.98,3645.45,-1.19,61460049.50,2023-09-07
3645.45,3677.51,3645.45,3668.33,0.62,43315880.00,2023-09-10
3668.33,3761.92,3668.33,3754.46,2.34,72547562.40,2023-09-11
3754.46,3768.57,3695.32,3700.37,-1.44,47361496.50,2023-09-12
3702.63,3809.57,3702.63,3807.06,2.88,92826635.50,2023-09-13
3798.22,3798.24,3697.75,3708.10,-2.59,58160655.30,2023-09-17
3708.86,3742.23,3687.23,3722.72,0.39,34290116.50,2023-09-18
3724.99,3777.93,3703.07,3777.93,1.48,52015168.10,2023-09-19
3777.93,3937.53,3777.93,3920.67,3.77,266345814.40,2023-09-21
3924.12,3925.25,3844.56,3856.58,-1.63,114070327.10,2023-09-24
3857.67,3878.94,3828.61,3852.52,-0.10,102110668.10,2023-09-25
3853.31,3913.06,3853.31,3872.36,0.51,94085068.70,2023-09-26
3872.36,3881.34,3796.85,3818.77,-1.38,116644457.60,2023-09-27
3818.77,3818.77,3755.40,3765.73,-1.38,83155884.10,2023-10-01
3765.73,3828.84,3732.69,3815.83,1.33,73788556.80,2023-10-02
3810.32,3821.22,3750.99,3768.92,-1.22,62207307.80,2023-10-03
3768.92,3821.03,3757.65,3791.47,0.59,61647277.00,2023-10-04
3791.47,3805.71,3759.63,3762.88,-0.75,54820766.90,2023-10-05
3763.93,3763.93,3684.22,3691.50,-1.89,107761182.30,2023-10-08
3691.50,3719.11,3658.52,3672.54,-0.51,74977034.00,2023-10-09
3672.54,3676.81,3626.20,3635.14,-1.01,94966653.40,2023-10-10
3635.14,3672.41,3628.20,3644.45,0.25,66320130.30,2023-10-11
3644.45,3652.31,3591.21,3599.29,-1.23,106092656.90,2023-10-12
3599.29,3605.06,3552.59,3564.59,-0.96,45065428.80,2023-10-16
3563.86,3635.37,3563.86,3574.11,0.26,49368978.20,2023-10-17
3574.11,3672.29,3574.11,3672.29,2.74,53402054.90,2023-10-18
3672.29,3692.09,3641.66,3663.02,-0.25,51150358.90,2023-10-19
3663.02,3671.48,3592.21,3607.54,-1.51,33678462.40,2023-10-29
3607.54,3642.57,3574.95,3634.58,0.74,29267706.30,2023-10-30
3634.58,3643.98,3590.96,3603.56,-0.85,26970621.20,2023-10-31
3603.56,3629.19,3580.46,3589.75,-0.38,28637906.30,2023-11-01
3589.75,3593.35,3554.14,3576.85,-0.35,38418186.90,2023-11-02
3570.16,3570.16,3506.01,3518.16,-1.64,44815919.70,2023-11-05
3518.16,3568.39,3516.47,3560.95,1.21,36740332.70,2023-11-06
3560.95,3596.83,3560.95,3576.50,0.43,42839923.90,2023-11-07
3581.28,3600.70,3549.35,3562.74,-0.38,29873150.10,2023-11-08
3562.75,3569.78,3537.53,3547.23,-0.43,34365568.00,2023-11-09
3542.06,3625.77,3542.06,3592.13,1.26,59301851.90,2023-11-20
3592.13,3613.82,3521.20,3560.39,-0.88,52638645.80,2023-11-21
3559.84,3580.43,3527.92,3566.15,0.17,36528542.90,2023-11-22
3566.15,3630.59,3560.52,3628.73,1.75,61268003.70,2023-11-23
3628.73,3724.40,3627.04,3724.40,2.63,119082801.70,2023-11-26
3726.15,3766.79,3692.54,3716.69,-0.20,89440221.50,2023-11-27
3716.69,3732.28,3681.38,3697.21,-0.52,58865104.50,2023-11-28
3697.21,3720.49,3641.61,3650.51,-1.26,44510679.50,2023-11-29
3666.72,3667.55,3607.59,3628.71,-0.59,50288165.50,2023-11-30
3628.71,3639.51,3586.94,3611.93,-0.46,39102367.90,2023-12-03
3611.93,3643.92,3604.26,3612.95,0.02,40264312.00,2023-12-04
3612.95,3646.69,3584.42,3597.94,-0.41,41656467.00,2023-12-05
3597.94,3624.37,3581.27,3601.15,0.08,34531023.20,2023-12-06
3601.15,3647.24,3582.33,3621.43,0.56,54947311.90,2023-12-07
3634.25,3838.23,3634.25,3860.14,6.59,18897474.90,2023-12-10
3906.86,3906.86,3754.11,3779.45,-2.09,198568146.50,2023-12-11
3778.58,3852.56,3759.22,3845.33,1.74,209091700.80,2023-12-12
3855.31,3949.21,3842.68,3889.56,1.15,255515198.40,2023-12-13
3889.99,3950.88,3855.17,3941.68,1.33,220340899.90,2023-12-14
3941.70,4046.22,3865.06,4046.22,2.65,232379513.10,2023-12-17
4063.30,4165.60,4062.78,4119.35,1.80,507864570.60,2023-12-18
4116.97,4176.82,4040.90,4176.82,1.39,293890901.60,2023-12-19
4159.37,4201.52,4125.74,4182.99,0.14,447788187.00,2023-12-20
4194.83,4197.18,4032.84,4047.82,-3.23,347485436.70,2023-12-21
