#,Ticker,Name,Listing_Date,Window_End,Timeframe,Listing_Price,End_Price,Total_Return_%
97,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,6/2/19,6/2/20,1 year,279,619,133.88
98,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,6/6/19,6/6/20,1 year,237,737,240.11
99,UNHPL,Union Hydropower Limited,6/12/19,6/12/20,1 year,150,50,-66
100,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,6/17/19,6/17/20,1 year,281,840,285.69
101,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,7/8/19,7/8/20,1 year,343.2,744,139.92
102,RHPL,Rasuwagadhi Hydropower Company Limited,8/6/19,8/6/20,1 year,263,144,-45.25
103,SJCL,Sanjen Jalavidhyut Company Limited,8/6/19,8/6/20,1 year,261,135,-48.28
104,NICBF,NIC ASIA Balanced Fund,11/11/19,11/11/20,1 year,10.3,10.17,76.41
105,NBF2,2,2/9/20,2/9/21,1 year,10,10.33,93.3
106,NRIC,Nepal Reinsurance Company Limited,6/29/20,6/29/21,1 year,382,1650,331.94
107,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,7/9/20,7/9/21,1 year,364,1550,315.11
108,NMB50,NMB 50,7/15/20,7/15/21,1 year,10,14.95,99.5
109,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,7/29/20,7/29/21,1 year,492,1670,269.47
110,NRN,NRN Infrastructure and Development Limited,8/26/20,8/26/21,1 year,336,930,184.72
111,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,8/30/20,8/30/21,1 year,684,2149.2,266.87
112,LUK,Laxmi Unnati Kosh,9/14/20,9/14/21,1 year,9.28,10.45,282
113,LEC,Liberty Energy Company Limited,9/20/20,9/20/21,1 year,270,383,41.85
114,SSHL,Shiva Shree Hydropower Limited,10/29/20,10/29/21,1 year,132,425,202.27
115,MEN,Mountain Energy Nepal Limited,12/16/20,12/16/21,1 year,378,1081.8,186.19
116,UMRH,Mardi and R.B. Hydropower Limited,12/20/20,12/20/21,1 year,325,480,47.69
117,SIGS2,2,1/11/21,1/11/22,1 year,10.45,11.34,295.6
118,CGH,Chandragiri Hills Limited,2/7/21,2/7/22,1 year,164,1419,765.24
119,NIFRA,Nepal Infrastructure Bank Limited,2/14/21,2/14/22,1 year,374,364,5.22
120,GLH,Greenlife Hydropower Limited,3/16/21,3/16/22,1 year,328,462.5,41.01
121,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,3/16/21,3/16/22,1 year,446,3648,1107.02
122,SHEL,Singati Hydro Energy Limited,4/28/21,4/28/22,1 year,330,340,3.03
123,RURU,Ru Ru Jalbidhyut Pariyojana Limited,5/3/21,5/3/22,1 year,384,895.4,162.6
124,CHDC,CEDB Holdings Limited,6/9/21,6/9/22,1 year,457,720,57.55
125,SBCF,Sunrise Bluechip Fund,6/9/21,6/9/22,1 year,10.12,8.1,-19.96
126,NIBSF2,2,6/27/21,6/27/22,1 year,10.17,8.01,-21.24
127,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,7/29/21,7/29/22,1 year,989.1,2855,391.07
128,MKJC,Mailung Khola Jal Vidhyut Company Limited,9/22/21,9/22/22,1 year,186.5,441.2,136.57
129,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,10/6/21,10/6/22,1 year,397.5,1089,171.7
130,HDHPC,Himal Dolakha Hydropower Company Limited,10/19/21,10/19/22,1 year,273,164,-39.93
131,SAHAS,Sahas Urja Limited,10/31/21,10/31/22,1 year,445.8,426,-4.44
132,TPC,Terhathum Power Company Limited,10/31/21,10/31/22,1 year,259.2,321,23.84
133,NBF3,Nabil Balanced Fund III,11/22/21,11/22/22,1 year,9.88,7.8,-21.05
134,SPC,Samling Power Company Limited,11/25/21,11/25/22,1 year,320.5,410,27.8
135,NYADI,Nyadi Hydropower  Limited,11/29/21,11/29/22,1 year,310.5,283,-8.86
136,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,12/26/21,12/26/22,1 year,110,223,102.73
137,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,1/18/22,1/18/23,1 year,261.7,428.9,63.89
138,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,1/19/22,1/19/23,1 year,831,1086,42.94
139,ENL,Emerging Nepal Limited,3/6/22,3/6/23,1 year,287.1,675,122.22
140,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,3/28/22,3/28/23,1 year,793.3,2249.9,183.61
141,GVL,Green Ventures Limited,4/19/22,4/19/23,1 year,298.2,411.8,38.1
