symbol,listing_date,end_date,years,start_price,ltp,initial_investment,total_units,market_value,cash_dividends,right_share_cost,total_invested,total_value,cagr_pct
SBID89,2024-01-03,2026-05-08,2.34,1000.00,1140.00,100000,100.00,114000.00,0.00,0.00,100000.00,114000.00,5.75
SBLD2091,2025-09-23,2026-05-08,0.62,1016.40,1052.00,100000,98.39,103502.56,0.00,0.00,100000.00,103502.56,5.70
CIZBD86,2023-07-10,2026-04-17,2.77,1040.00,1198.00,100000,96.15,115192.31,0.00,0.00,100000.00,115192.31,5.24
DOLTI,2023-06-08,2026-05-08,2.92,287.10,332.00,100000,348.31,115639.15,0.00,0.00,100000.00,115639.15,5.11
SHINED,2025-11-11,2026-05-08,0.49,1100.00,1125.00,100000,90.91,102272.73,0.00,0.00,100000.00,102272.73,4.72
NIFRAGED,2025-07-15,2026-05-08,0.81,1001.00,1035.70,100000,99.90,103466.53,0.00,0.00,100000.00,103466.53,4.28
ICFCD88,2025-03-09,2026-05-08,1.16,1100.00,1155.00,100000,90.91,105000.00,0.00,0.00,100000.00,105000.00,4.28
PHCL,2022-12-14,2026-05-08,3.40,270.00,307.90,100000,370.37,114037.04,0.00,0.00,100000.00,114037.04,3.94
NMBHF2,2025-04-21,2026-05-08,1.05,9.23,9.60,100000,10834.24,104008.67,0.00,0.00,100000.00,104008.67,3.83
RBBD83,2023-12-20,2026-05-05,2.37,950.00,1037.00,100000,105.26,109157.89,0.00,0.00,100000.00,109157.89,3.76
EBLD91,2025-05-21,2026-05-08,0.96,1025.00,1062.00,100000,97.56,103609.76,0.00,0.00,100000.00,103609.76,3.75
SALICO,2023-05-15,2026-05-08,2.98,560.50,584.10,100000,178.41,104210.53,6244.42,0.00,100000.00,110454.95,3.39
PBLD87,2022-11-30,2026-05-06,3.43,1000.00,1107.00,100000,100.00,110700.00,0.00,0.00,100000.00,110700.00,3.01
NIBLSTF,2024-06-03,2026-05-08,1.93,9.00,9.49,100000,11111.11,105444.44,0.00,0.00,100000.00,105444.44,2.79
IGI,2023-06-04,2026-05-08,2.93,407.90,427.00,100000,245.16,104682.52,3612.85,0.00,100000.00,108295.37,2.76
MKHC,2023-03-22,2026-05-08,3.13,292.00,316.00,100000,342.47,108219.18,0.00,0.00,100000.00,108219.18,2.56
NICGF2,2024-02-11,2026-05-08,2.24,9.00,9.52,100000,11111.11,105777.78,0.00,0.00,100000.00,105777.78,2.54
SBID83,2022-10-16,2026-05-06,3.55,1000.00,1075.00,100000,100.00,107500.00,0.00,0.00,100000.00,107500.00,2.06
GCIL,2023-08-13,2026-05-08,2.74,509.00,420.00,100000,248.53,104381.14,118.91,0.00,100000.00,104500.05,1.62
HLI,2023-06-22,2026-05-08,2.88,381.10,339.00,100000,299.13,101406.45,2393.07,0.00,100000.00,103799.53,1.30
